Trimestre,PIB,Sector Primario,Sector Secundario,Sector Terciario,INPC,PIB_INDICE
2016-T4,18416088.74,"669,135","5,423,369","11,513,052",92.04,100.06
2017-T1,17757948.29,"538,583","5,389,411","11,071,500",94.72,96.48
2017-T2,18085551.24,"598,514","5,372,968","11,325,744",94.96,98.26
2017-T3,17900791.79,"480,401","5,371,999","11,250,603",96.09,97.26
2017-T4,18744753.95,"698,353","5,389,164","11,831,998",98.27,101.84
2018P-T1,18017105.13,"565,602","5,365,912","11,304,524",99.49,97.89
2018P-T2,18667773.09,"613,840","5,496,852","11,746,299",99.38,101.43
2018P-T3,18405262.77,"484,790","5,449,080","11,644,811",100.92,100
2018P-T4,18990033.07,"704,250","5,319,459","12,109,743",103.02,103.18
2019P-T1,18275214.25,"577,750","5,367,173","11,527,581",103.48,99.29
2019P-T2,18496704.38,"609,477","5,327,182","11,758,059",103.3,100.5
2019P-T3,18398056,"494,276","5,370,918","11,710,414",103.94,99.96
2019P-T4,18869805.04,"693,727","5,204,382","12,121,759",105.93,102.52
2020-T1R,18024720.49,"563,036","5,229,032","11,456,763",106.84,97.93
2020-T2R,15043537.88,"600,632","3,970,922","9,844,563",106.74,81.73
2020-T3R,16813763.01,"530,342","4,901,624","10,669,341",108.11,91.35
2020-T4P,18057270.43,"727,020","5,042,367","11,517,896",109.27,98.11
2021-T1P,18129499.51,"717,569","5,042,367","11,598,521",111.82,94.21
